time,active interface,handover type
0,SA 5G,unknown
25,SA 5G,5t5
163,SA 5G,5t5
185,SA 5G,5t5
244,SA 5G,5t5
271,SA 5G,5t5
314,4G,5t4
315,4G,4t4
323,NSA 5G,4t5
344,4G,5t4
346,4G,4t4
357,4G,4t4
361,NSA 5G,4t5
363,NSA 5G,5t5
367,4G,5t4
369,NSA 5G,4t5
378,4G,5t4
385,4G,4t4
388,4G,4t4
390,NSA 5G,4t5
391,4G,5t4
404,4G,4t4
405,NSA 5G,4t5
408,NSA 5G,5t5
410,NSA 5G,5t5
413,NSA 5G,5t5
414,4G,5t4
425,4G,4t4
430,4G,4t4
433,4G,4t4
446,4G,4t4
449,NSA 5G,4t5
451,4G,5t4
452,4G,4t4
454,NSA 5G,4t5
459,4G,5t4
460,NSA 5G,4t5
463,4G,5t4
465,NSA 5G,4t5
468,4G,5t4
469,NSA 5G,4t5
474,4G,5t4
475,NSA 5G,4t5
481,4G,5t4
484,NSA 5G,4t5
487,4G,5t4
490,NSA 5G,4t5
495,4G,5t4
496,NSA 5G,4t5
498,4G,5t4
500,NSA 5G,4t5
506,4G,5t4
507,NSA 5G,4t5
550,4G,5t4
551,NSA 5G,4t5
556,4G,5t4
568,NSA 5G,4t5
571,4G,5t4
573,NSA 5G,4t5
583,4G,5t4
589,NSA 5G,4t5
592,4G,5t4
601,NSA 5G,4t5
612,4G,5t4
615,NSA 5G,4t5
