enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
5G-NSA-Low-Band,Verizon,0,54,53,5,YEP
5G-NSA-Low-Band,Verizon,0.1,76,77,5,BAD
5G-NSA-Low-Band,Verizon,0.2,77,77,5,BAD
5G-NSA-Low-Band,Verizon,0.3,180,179,5,YEP
5G-NSA-Low-Band,Verizon,0.4,239,239,5,YEP
5G-NSA-Low-Band,Verizon,0.5,116,115,5,YEP
5G-NSA-Low-Band,Verizon,0.6,384,384,5,YEP
5G-NSA-Low-Band,Verizon,0.7,264,263,5,YEP
5G-NSA-Low-Band,Verizon,0.8,156,155,5,YEP
5G-NSA-Low-Band,Verizon,0.9,379,379,5,YEP
5G-NSA-Low-Band,Verizon,1,276,276,5,YEP
5G-NSA-Low-Band,Verizon,1.1,156,155,5,BAD
5G-NSA-Low-Band,Verizon,1.2,84,83,5,BAD
5G-NSA-Low-Band,Verizon,1.3,330,329,5,BAD
5G-NSA-Low-Band,Verizon,1.4,186,185,5,YEP
5G-NSA-Low-Band,Verizon,1.5,76,75,5,BAD
5G-NSA-Low-Band,Verizon,1.6,340,339,5,YEP
5G-NSA-Low-Band,Verizon,1.7,235,235,5,YEP
5G-NSA-Low-Band,Verizon,1.8,124,124,5,YEP
5G-NSA-Low-Band,Verizon,1.9,323,323,5,YEP
5G-NSA-Low-Band,Verizon,2,240,240,5,YEP
5G-NSA-Low-Band,Verizon,2.1,152,152,5,YEP
5G-NSA-Low-Band,Verizon,2.2,364,363,5,YEP
5G-NSA-Low-Band,Verizon,2.3,256,256,5,YEP
5G-NSA-Low-Band,Verizon,2.4,143,143,5,YEP
5G-NSA-Low-Band,Verizon,2.5,390,390,5,BAD
5G-NSA-Low-Band,Verizon,2.6,286,286,5,BAD
5G-NSA-Low-Band,Verizon,2.7,75,76,5,YEP
5G-NSA-Low-Band,Verizon,2.8,181,181,5,YEP
5G-NSA-Low-Band,Verizon,2.9,303,303,5,YEP
5G-NSA-Low-Band,Verizon,3,200,200,5,YEP
5G-NSA-Low-Band,Verizon,3.1,100,100,5,BAD
5G-NSA-Low-Band,Verizon,3.2,320,320,5,YEP
5G-NSA-Low-Band,Verizon,3.3,230,230,5,YEP
5G-NSA-Low-Band,Verizon,3.4,110,110,5,YEP
5G-NSA-Low-Band,Verizon,3.5,346,346,5,YEP
5G-NSA-Low-Band,Verizon,3.6,247,247,5,YEP
5G-NSA-Low-Band,Verizon,3.7,123,123,5,YEP
5G-NSA-Low-Band,Verizon,3.8,96,96,5,YEP
5G-NSA-Low-Band,Verizon,3.9,104,104,5,YEP
5G-NSA-Low-Band,Verizon,4,260,261,5,YEP
5G-NSA-Low-Band,Verizon,4.1,99,99,5,BAD
5G-NSA-Low-Band,Verizon,4.2,236,235,5,YEP
5G-NSA-Low-Band,Verizon,4.3,184,184,5,YEP
5G-NSA-Low-Band,Verizon,4.4,92,92,5,YEP
5G-NSA-Low-Band,Verizon,4.5,288,288,5,YEP
5G-NSA-Low-Band,Verizon,4.6,204,204,5,YEP
5G-NSA-Low-Band,Verizon,4.7,108,108,5,YEP
5G-NSA-Low-Band,Verizon,4.8,307,308,5,YEP
5G-NSA-Low-Band,Verizon,4.9,62,62,5,BAD
5G-NSA-Low-Band,Verizon,5,286,286,5,BAD
5G-NSA-Low-Band,Verizon,5.1,332,332,5,YEP
5G-NSA-Low-Band,Verizon,5.2,76,76,5,BAD
5G-NSA-Low-Band,Verizon,5.3,293,293,5,YEP
5G-NSA-Low-Band,Verizon,5.4,103,103,5,BAD
5G-NSA-Low-Band,Verizon,5.5,220,220,5,YEP
5G-NSA-Low-Band,Verizon,5.6,148,148,5,BAD
5G-NSA-Low-Band,Verizon,5.7,396,396,5,BAD
5G-NSA-Low-Band,Verizon,5.8,276,276,5,YEP
5G-NSA-Low-Band,Verizon,5.9,176,176,5,YEP
5G-NSA-Low-Band,Verizon,6,410,410,5,YEP
5G-NSA-Low-Band,Verizon,6.1,288,288,5,YEP
5G-NSA-Low-Band,Verizon,6.2,199,200,5,YEP
5G-NSA-Low-Band,Verizon,6.3,102,102,5,YEP
5G-NSA-Low-Band,Verizon,6.4,325,326,5,YEP
5G-NSA-Low-Band,Verizon,6.5,217,217,5,YEP
5G-NSA-Low-Band,Verizon,6.6,105,104,5,YEP
5G-NSA-Low-Band,Verizon,6.7,338,338,5,YEP
5G-NSA-Low-Band,Verizon,6.8,266,267,5,YEP
5G-NSA-Low-Band,Verizon,6.9,109,109,5,BAD
5G-NSA-Low-Band,Verizon,7,384,384,5,YEP
5G-NSA-Low-Band,Verizon,7.1,254,254,5,YEP
5G-NSA-Low-Band,Verizon,7.2,163,163,5,YEP
5G-NSA-Low-Band,Verizon,7.3,379,379,5,YEP
5G-NSA-Low-Band,Verizon,7.4,285,286,5,YEP
5G-NSA-Low-Band,Verizon,7.5,172,172,5,YEP
5G-NSA-Low-Band,Verizon,7.6,106,106,5,YEP
5G-NSA-Low-Band,Verizon,7.7,82,82,5,YEP
5G-NSA-Low-Band,Verizon,7.8,100,100,5,YEP
5G-NSA-Low-Band,Verizon,7.9,398,398,5,YEP
5G-NSA-Low-Band,Verizon,8,325,325,5,YEP
5G-NSA-Low-Band,Verizon,8.1,218,219,5,YEP
5G-NSA-Low-Band,Verizon,8.2,116,116,5,YEP
5G-NSA-Low-Band,Verizon,8.3,336,336,5,YEP
5G-NSA-Low-Band,Verizon,8.4,231,232,5,YEP
5G-NSA-Low-Band,Verizon,8.5,142,142,5,YEP
5G-NSA-Low-Band,Verizon,8.6,367,367,5,YEP
5G-NSA-Low-Band,Verizon,8.7,249,249,5,YEP
5G-NSA-Low-Band,Verizon,8.8,166,166,5,YEP
5G-NSA-Low-Band,Verizon,8.9,376,376,5,BAD
5G-NSA-Low-Band,Verizon,9,291,291,5,YEP
5G-NSA-Low-Band,Verizon,9.1,168,167,5,YEP
5G-NSA-Low-Band,Verizon,9.2,84,83,5,YEP
5G-NSA-Low-Band,Verizon,9.3,308,307,5,YEP
5G-NSA-Low-Band,Verizon,9.4,184,184,5,YEP
5G-NSA-Low-Band,Verizon,9.5,128,127,5,YEP
5G-NSA-Low-Band,Verizon,9.6,99,99,5,YEP
5G-NSA-Low-Band,Verizon,9.7,75,74,5,YEP
5G-NSA-Low-Band,Verizon,9.8,138,137,5,YEP
5G-NSA-Low-Band,Verizon,9.9,334,333,5,YEP
5G-NSA-Low-Band,Verizon,10,246,246,5,YEP
5G-NSA-Low-Band,Verizon,10.1,1034,1033,4,YEP
5G-NSA-Low-Band,Verizon,10.2,245,244,5,YEP
5G-NSA-Low-Band,Verizon,10.3,1018,1017,4,YEP
5G-NSA-Low-Band,Verizon,10.4,298,297,5,YEP
5G-NSA-Low-Band,Verizon,10.5,548,547,4,YEP
5G-NSA-Low-Band,Verizon,10.6,393,393,5,YEP
5G-NSA-Low-Band,Verizon,10.7,1361,1360,4,YEP
5G-NSA-Low-Band,Verizon,10.8,720,719,4,YEP
5G-NSA-Low-Band,Verizon,10.9,274,273,5,YEP
5G-NSA-Low-Band,Verizon,11,201,200,5,YEP
5G-NSA-Low-Band,Verizon,11.1,1102,1102,4,YEP
5G-NSA-Low-Band,Verizon,11.2,141,140,5,YEP
5G-NSA-Low-Band,Verizon,11.3,379,378,4,YEP
5G-NSA-Low-Band,Verizon,11.4,214,214,5,YEP
5G-NSA-Low-Band,Verizon,11.5,1217,1218,4,YEP
5G-NSA-Low-Band,Verizon,11.6,1208,1208,4,YEP
5G-NSA-Low-Band,Verizon,11.7,1080,1080,4,YEP
5G-NSA-Low-Band,Verizon,11.8,1000,1000,4,YEP
5G-NSA-Low-Band,Verizon,11.9,900,900,4,YEP
5G-NSA-Low-Band,Verizon,12,803,803,4,YEP
5G-NSA-Low-Band,Verizon,12.1,697,696,4,YEP
5G-NSA-Low-Band,Verizon,12.2,211,211,5,YEP
5G-NSA-Low-Band,Verizon,12.3,903,902,4,YEP
